"rank","item","obs","au","np"
"1","1","1.7","0.497","0.145"
"2","2","1.7","0.677","0.251"
"3","3","7.1","0.369","0.05"
"4","4","1.7","0.676","0.252"
"5","5","1.7","0.679","0.251"
"6","6","2.5","0.59","0.097"
"7","7","1.7","0.678","0.252"
"8","8","6.4","0.391","0.088"
"9","9","1.7","0.495","0.146"
"10","10","0","0.721","0.308"
"11","11","1.7","0.678","0.251"
"12","12","7.1","0.369","0.05"
"13","13","1.7","0.678","0.251"
"14","14","-0","0.723","0.306"
"15","15","2.5","0.591","0.097"
"16","16","1.7","0.5","0.145"
"17","17","38.3","0.037","0.005"
"18","18","25.1","0.152","0.008"
"19","19","28.6","0.049","0.002"
"20","20","38.2","0.012","0.003"
"21","21","35.6","0.025","0.004"
"22","22","49.2","0.005","0.0002"
"23","23","35.3","0.035","0.005"
"24","24","47.5","0.044","0.011"
"25","25","50","0.022","0.001"
"26","26","27.9","0.023","0.004"
"27","27","27.1","0.119","0.011"
"28","28","34","0.007","0.0003"
"29","29","32.3","0.067","0.008"
"30","30","31.1","0.049","0.005"
"31","31","22.3","0.065","0.007"
"32","32","34.4","0.036","0.002"
