"rank","item","obs","au","np"
"1","1","1.7","0.519","0.147"
"2","2","1.7","0.673","0.251"
"3","3","7.1","0.395","0.05"
"4","4","1.7","0.674","0.25"
"5","5","1.7","0.675","0.251"
"6","6","2.5","0.563","0.102"
"7","7","1.7","0.674","0.251"
"8","8","6.4","0.439","0.088"
"9","9","1.7","0.516","0.147"
"10","10","0","0.754","0.302"
"11","11","1.7","0.674","0.25"
"12","12","7.1","0.393","0.05"
"13","13","1.7","0.674","0.251"
"14","14","-0","0.754","0.302"
"15","15","2.5","0.565","0.101"
"16","16","1.7","0.515","0.148"
"17","17","38.3","0.029","0.006"
"18","18","25.1","0.048","0.007"
"19","19","28.6","0.014","0.0005"
"20","20","38.2","0.004","0.003"
"21","21","35.6","0.025","0.006"
"22","22","49.2","0.008","0.001"
"23","23","35.3","0.021","0.003"
"24","24","47.5","0.025","0.01"
"25","25","50","0.006","0.001"
"26","26","27.9","0.014","0.004"
"27","27","27.1","0.117","0.011"
"28","28","34","0.008","0.0003"
"29","29","32.3","0.052","0.008"
"30","30","31.1","0.011","0.002"
"31","31","22.3","0.077","0.007"
"32","32","34.4","0.023","0.001"
